time,open,high,low,close,tick_volume,spread,real_volume
1745229600,1.3381,1.34139,1.3376000000000001,1.34105,4465,13,0
1745233200,1.34105,1.34155,1.3394300000000001,1.34142,4511,13,0
1745236800,1.34141,1.34214,1.33999,1.34005,3899,13,0
1745240400,1.3400699999999999,1.34043,1.33854,1.33891,3232,13,0
1745244000,1.3388900000000001,1.33991,1.3378700000000001,1.3396,4158,10,0
1745247600,1.33959,1.34036,1.33803,1.34036,4311,10,0
1745251200,1.34035,1.34082,1.33854,1.3401100000000001,5253,10,0
1745254800,1.34012,1.34066,1.3385799999999999,1.33899,5443,10,0
1745258400,1.33899,1.33931,1.33772,1.33806,4178,10,0
1745262000,1.33806,1.33825,1.33747,1.33786,3290,10,0
1745265600,1.33786,1.33789,1.3362,1.33756,2983,10,0
1745269200,1.33756,1.33825,1.3369900000000001,1.33781,2830,10,0
1745272800,1.33781,1.33838,1.33725,1.33742,2626,10,0
1745276400,1.33751,1.33803,1.33735,1.3379699999999999,1671,10,0
1745280000,1.33653,1.33777,1.33653,1.33745,850,83,0
1745283600,1.3376299999999999,1.33841,1.33719,1.33813,1490,14,0
1745287200,1.33816,1.33841,1.33723,1.33788,1852,14,0
1745290800,1.33788,1.3379699999999999,1.3361,1.337,4047,14,0
1745294400,1.337,1.338,1.3369900000000001,1.33749,3439,14,0
1745298000,1.33749,1.33958,1.33747,1.33958,2336,14,0
1745301600,1.33957,1.34094,1.33945,1.34039,3370,14,0
1745305200,1.34039,1.34093,1.34005,1.34016,2068,14,0
1745308800,1.34016,1.34232,1.33923,1.34169,4105,14,0
1745312400,1.34171,1.34193,1.3385500000000001,1.33896,5633,13,0
1745316000,1.33901,1.34003,1.33703,1.33768,5483,13,0
1745319600,1.33768,1.33877,1.33684,1.33871,4941,11,0
1745323200,1.33872,1.33901,1.33618,1.33685,4475,11,0
1745326800,1.33685,1.3376700000000001,1.33623,1.33664,4173,11,0
1745330400,1.33663,1.33843,1.3364099999999999,1.33768,3898,10,0
1745334000,1.33768,1.33818,1.33555,1.33711,5144,10,0
1745337600,1.33714,1.33776,1.33574,1.33747,5653,10,0
1745341200,1.33744,1.33896,1.33695,1.33801,5230,10,0
1745344800,1.33806,1.33839,1.33713,1.3373,4302,10,0
1745348400,1.33732,1.33766,1.3342399999999999,1.33456,5721,10,0
1745352000,1.33456,1.33542,1.33391,1.33447,5051,10,0
1745355600,1.33448,1.3345500000000001,1.33312,1.33362,3481,10,0
1745359200,1.3336299999999999,1.33409,1.33297,1.3330899999999999,3189,10,0
1745362800,1.3331,1.33386,1.33249,1.33291,1355,10,0
1745366400,1.33262,1.33343,1.3289,1.32918,1025,68,0
1745370000,1.3289,1.32925,1.32333,1.32548,4749,11,0
1745373600,1.32546,1.32839,1.32523,1.32724,4061,11,0
1745377200,1.3271899999999999,1.33056,1.32702,1.33052,5130,11,0
1745380800,1.3305500000000001,1.33171,1.32969,1.33107,3914,11,0
1745384400,1.33107,1.33118,1.32966,1.33083,3183,11,0
1745388000,1.3308499999999999,1.33098,1.32864,1.32921,3151,11,0
1745391600,1.3292,1.3305799999999999,1.3287499999999999,1.33049,2194,11,0
1745395200,1.3305,1.33164,1.32948,1.32983,3079,11,0
1745398800,1.32986,1.33247,1.32957,1.33202,5320,11,0
1745402400,1.33203,1.33279,1.33012,1.33038,6065,11,0
1745406000,1.3305,1.33229,1.32796,1.33192,5313,11,0
1745409600,1.33191,1.33384,1.33176,1.33218,4892,11,0
1745413200,1.33218,1.33224,1.32944,1.33006,4220,11,0
1745416800,1.33006,1.33101,1.3289900000000001,1.32987,4502,10,0
1745420400,1.32986,1.3308499999999999,1.32931,1.33033,4863,10,0
1745424000,1.33033,1.33191,1.3283,1.32844,7340,10,0
1745427600,1.32843,1.32991,1.32695,1.32734,8674,10,0
1745431200,1.32735,1.3283,1.32538,1.3254000000000001,6683,10,0
1745434800,1.32546,1.32669,1.32495,1.32603,5120,10,0
1745438400,1.32602,1.32768,1.32578,1.3271600000000001,4052,10,0
1745442000,1.32715,1.32717,1.32574,1.32653,3981,10,0
1745445600,1.32652,1.32702,1.32596,1.32653,3176,10,0
1745449200,1.32654,1.32664,1.32493,1.32539,1859,10,0
1745452800,1.3247200000000001,1.32593,1.3244,1.32521,615,68,0
1745456400,1.32551,1.32732,1.32521,1.3267,2497,11,0
1745460000,1.32671,1.32729,1.32627,1.32643,1871,11,0
1745463600,1.32643,1.32788,1.32582,1.32764,3158,11,0
1745467200,1.32764,1.3286,1.32751,1.32826,3518,11,0
1745470800,1.32825,1.32851,1.32779,1.32837,2621,11,0
1745474400,1.32837,1.3286,1.32671,1.3269,2420,11,0
1745478000,1.3269,1.32725,1.32645,1.32699,2068,11,0
1745481600,1.32698,1.32743,1.3264,1.32674,3461,11,0
1745485200,1.32674,1.32803,1.32649,1.32739,3858,11,0
1745488800,1.32739,1.32962,1.32737,1.32938,4242,11,0
1745492400,1.32938,1.3309199999999999,1.32896,1.3301,4454,11,0
1745496000,1.33009,1.33164,1.32975,1.3303,3341,11,0
1745499600,1.3303,1.33202,1.3296999999999999,1.3299699999999999,3842,11,0
1745503200,1.32998,1.33203,1.32992,1.33079,3494,10,0
1745506800,1.33077,1.33109,1.32968,1.33007,4388,10,0
1745510400,1.33016,1.33152,1.32995,1.3312599999999999,4294,10,0
1745514000,1.3312599999999999,1.33319,1.33084,1.3314300000000001,5721,10,0
1745517600,1.33142,1.33201,1.32896,1.33045,4596,10,0
1745521200,1.33046,1.33289,1.33017,1.33283,3807,10,0
